free,DisplayLength,Plus9Location,Light Configuration,Speaker Configuration,Side,Track,TrackLength,OperationCode,Station,OperationType,Status,unique unit config id
19-11,"19'11""",FrontAndRear,Double,4SP,Driver,1,3+9,L1,1,Light,,19-11-FR-D-4SP
19-11,"19'11""",FrontAndRear,Double,4SP,Driver,1,3+9,L3,3,Light,,19-11-FR-D-4SP
19-11,"19'11""",FrontAndRear,Double,4SP,Driver,1,3+9,SP3,3,Speaker,,19-11-FR-D-4SP
19-11,"19'11""",FrontAndRear,Double,4SP,Driver,2,3+9,L2,2,Light,,19-11-FR-D-4SP
19-11,"19'11""",FrontAndRear,Double,4SP,Driver,2,3+9,SP2,2,Speaker,,19-11-FR-D-4SP
19-11,"19'11""",FrontAndRear,Double,4SP,Passenger,1,3+9,L1,1,Light,,19-11-FR-D-4SP
19-11,"19'11""",FrontAndRear,Double,4SP,Passenger,1,3+9,SP2,2,Speaker,,19-11-FR-D-4SP
19-11,"19'11""",FrontAndRear,Double,4SP,Passenger,1,3+9,L3,3,Light,,19-11-FR-D-4SP
19-11,"19'11""",FrontAndRear,Double,4SP,Passenger,2,3+9,L2,2,Light,,19-11-FR-D-4SP
19-11,"19'11""",FrontAndRear,Double,4SP,Passenger,2,3+9,SP3,3,Speaker,,19-11-FR-D-4SP
19-11,"19'11""",FrontAndRear,Double,8SP,Driver,1,3+9,L1,1,Light,,19-11-FR-D-8SP
19-11,"19'11""",FrontAndRear,Double,8SP,Driver,1,3+9,L3,3,Light,,19-11-FR-D-8SP
19-11,"19'11""",FrontAndRear,Double,8SP,Driver,1,3+9,SP3,3,Speaker,,19-11-FR-D-8SP
19-11,"19'11""",FrontAndRear,Double,8SP,Driver,2,3+9,SP1,1,Speaker,,19-11-FR-D-8SP
19-11,"19'11""",FrontAndRear,Double,8SP,Driver,2,3+9,L2,2,Light,,19-11-FR-D-8SP
19-11,"19'11""",FrontAndRear,Double,8SP,Driver,2,3+9,SP2,2,Speaker,,19-11-FR-D-8SP
19-11,"19'11""",FrontAndRear,Double,8SP,Driver,2,3+9,SP3,3,Speaker,,19-11-FR-D-8SP
19-11,"19'11""",FrontAndRear,Double,8SP,Passenger,1,3+9,L1,1,Light,,19-11-FR-D-8SP
19-11,"19'11""",FrontAndRear,Double,8SP,Passenger,1,3+9,L3,3,Light,,19-11-FR-D-8SP
19-11,"19'11""",FrontAndRear,Double,8SP,Passenger,1,3+9,SP3,3,Speaker,,19-11-FR-D-8SP
19-11,"19'11""",FrontAndRear,Double,8SP,Passenger,2,3+9,SP1,1,Speaker,,19-11-FR-D-8SP
19-11,"19'11""",FrontAndRear,Double,8SP,Passenger,2,3+9,L2,2,Light,,19-11-FR-D-8SP
